Region,Crop_Type,modal_price
Chattisgarh,Paddy(Dhan)(Common),1500
Chattisgarh,Mahua,1750
Chattisgarh,Tamarind Seed,2250
Chattisgarh,Paddy(Dhan)(Common),1350
Chattisgarh,Maize,1700
Chattisgarh,Paddy(Dhan)(Common),1350
Chattisgarh,Paddy(Dhan)(Common),1350
Chattisgarh,Paddy(Dhan)(Common),1300
Chattisgarh,Apple,12500
Chattisgarh,Banana - Green,1100
Chattisgarh,Bhindi(Ladies Finger),1400
Chattisgarh,Bitter gourd,2800
Chattisgarh,Bottle gourd,800
Chattisgarh,Cabbage,2950
Chattisgarh,Capsicum,2500
Chattisgarh,Cauliflower,3900
Chattisgarh,Cucumbar(Kheera),1600
Chattisgarh,Onion,1400
Chattisgarh,Potato,1400
Chattisgarh,Tomato,4000
Chattisgarh,Paddy(Dhan)(Common),1470
Chattisgarh,Paddy(Dhan)(Common),1350
Chattisgarh,Paddy(Dhan)(Common),1500
Chattisgarh,Paddy(Dhan)(Common),1500
Chattisgarh,Paddy(Dhan)(Common),1400
Chattisgarh,Paddy(Dhan)(Common),1300
Chattisgarh,Paddy(Dhan)(Common),1300
Chattisgarh,Paddy(Dhan)(Common),1505
Chattisgarh,Paddy(Dhan)(Common),1300
Chattisgarh,Paddy(Dhan)(Common),1300
Chattisgarh,Paddy(Dhan)(Common),1505
Chattisgarh,Paddy(Dhan)(Common),1505
Chattisgarh,Paddy(Dhan)(Common),1300
Chattisgarh,Mahua,2500
Chattisgarh,Onion,1200
Chattisgarh,Paddy(Dhan)(Common),1350
Chattisgarh,Tomato,2000
Chattisgarh,Paddy(Dhan)(Common),1400
Chattisgarh,Paddy(Dhan)(Common),1750
Chattisgarh,Banana,2200
Chattisgarh,Bhindi(Ladies Finger),1200
Chattisgarh,Brinjal,800
Chattisgarh,Cabbage,2000
Chattisgarh,Lemon,3000
Chattisgarh,Mango,5000
Chattisgarh,Mousambi(Sweet Lime),4000
Chattisgarh,Onion,1800
Chattisgarh,Potato,1200
Chattisgarh,Raddish,1800
Chattisgarh,Tomato,2500
Chattisgarh,Groundnut,4900
Chattisgarh,Paddy(Dhan)(Common),1430
Chattisgarh,Paddy(Dhan)(Common),2800
Chattisgarh,Paddy(Dhan)(Common),1775
Goa,Arecanut(Betelnut/Supari),18500
Goa,Arecanut(Betelnut/Supari),21000
Goa,Arecanut(Betelnut/Supari),19500
Gujarat,Banana - Green,1150
Gujarat,Beetroot,3250
Gujarat,Bhindi(Ladies Finger),1500
Gujarat,Bitter gourd,1700
Gujarat,Bottle gourd,900
Gujarat,Brinjal,1150
Gujarat,Cabbage,2700
Gujarat,Capsicum,3100
Gujarat,Carrot,1950
Gujarat,Cauliflower,1950
Gujarat,Colacasia,2300
Gujarat,Cucumbar(Kheera),2650
Gujarat,Drumstick,4250
Gujarat,Elephant Yam (Suran),2250
Gujarat,French Beans (Frasbean),3600
Gujarat,Ginger(Green),9100
Gujarat,Green Chilli,1900
Gujarat,Groundnut pods (raw),7300
Gujarat,Guar,2650
Gujarat,Lemon,2750
Gujarat,Mango (Raw-Ripe),2300
Gujarat,Onion Green,2600
Gujarat,Papaya (Raw),950
Gujarat,Peas Wet,9600
Gujarat,Pointed gourd (Parval),1900
Gujarat,Pumpkin,1100
Gujarat,Tinda,2100
Gujarat,Tomato,3650
Gujarat,Onion,1125
Gujarat,Onion,1200
Gujarat,Potato,1650
Gujarat,Potato,475
Gujarat,Apple,8800
Gujarat,Banana,1500
Gujarat,Chikoos(Sapota),4300
Gujarat,Mango,5000
Gujarat,Mousambi(Sweet Lime),3800
Gujarat,Papaya,1800
Gujarat,Pineapple,4000
Gujarat,Pomegranate,5300
Gujarat,Apple,8800
Gujarat,Banana,1500
Gujarat,Chikoos(Sapota),4300
Gujarat,Mango,5000
Gujarat,Mousambi(Sweet Lime),3800
Gujarat,Papaya,1800
Gujarat,Pineapple,4000
Gujarat,Pomegranate,5300
Gujarat,Amaranthus,1150
Gujarat,Coriander(Leaves),5600
Gujarat,Methi(Leaves),3000
Gujarat,Mint(Pudina),1950
Gujarat,Raddish,1800
Gujarat,Spinach,1600
Gujarat,Castor Seed,5350
Gujarat,Cummin Seed(Jeera),14975
Gujarat,Arhar (Tur/Red Gram)(Whole),3250
Gujarat,Bajra(Pearl Millet/Cumbu),2150
Gujarat,Bengal Gram(Gram)(Whole),4105
Gujarat,Black Gram (Urd Beans)(Whole),5665
Gujarat,Castor Seed,5255
Gujarat,Cotton,5970
Gujarat,Cummin Seed(Jeera),15805
Gujarat,Ground Nut Seed,5700
Gujarat,Groundnut,4165
Gujarat,Groundnut (Split),5735
Gujarat,Jowar(Sorghum),3125
Gujarat,"Sesamum(Sesame,Gingelly,Til)",17490
Gujarat,"Sesamum(Sesame,Gingelly,Til)",13805
Gujarat,"Sesamum(Sesame,Gingelly,Til)",10770
Gujarat,Wheat,2065
Gujarat,Wheat,2080
Gujarat,Cotton,5720
Gujarat,Bhindi(Ladies Finger),3600
Gujarat,Brinjal,1100
Gujarat,Capsicum,3000
Gujarat,Guar,3000
Gujarat,Lemon,5500
Gujarat,Bajra(Pearl Millet/Cumbu),2133
Gujarat,Cotton,6125
Gujarat,Green Gram (Moong)(Whole),6210
Gujarat,Groundnut,4700
Gujarat,Jowar(Sorghum),2573
Gujarat,Kabuli Chana(Chickpeas-White),4040
Gujarat,Maize,2255
Gujarat,Mustard,3765
Gujarat,"Sesamum(Sesame,Gingelly,Til)",15255
Gujarat,"Sesamum(Sesame,Gingelly,Til)",9550
Gujarat,Wheat,2105
Gujarat,Bajra(Pearl Millet/Cumbu),1925
Gujarat,Bengal Gram(Gram)(Whole),4125
Gujarat,Castor Seed,4925
Gujarat,Cotton,6128
Gujarat,Cummin Seed(Jeera),14960
Gujarat,Green Gram (Moong)(Whole),5688
Gujarat,Groundnut,5000
Gujarat,Jowar(Sorghum),2250
Gujarat,Maize,2150
Gujarat,"Sesamum(Sesame,Gingelly,Til)",16188
Gujarat,"Sesamum(Sesame,Gingelly,Til)",10163
Gujarat,Wheat,2038
Gujarat,Bhindi(Ladies Finger),900
Gujarat,Bottle gourd,450
Gujarat,Brinjal,550
Gujarat,Cabbage,2300
Gujarat,Cauliflower,1750
Gujarat,Green Chilli,1900
Gujarat,Onion,1200
Gujarat,Potato,600
Gujarat,Tomato,4250
Gujarat,Bajra(Pearl Millet/Cumbu),1900
Gujarat,Wheat,1825
Gujarat,Bajra(Pearl Millet/Cumbu),2000
Gujarat,Paddy(Dhan)(Common),1920
Gujarat,Wheat,2020
Gujarat,Bhindi(Ladies Finger),1650
Gujarat,Guar,3000
Gujarat,Onion,1400
Gujarat,Potato,700
Gujarat,Tomato,4150
Gujarat,Bajra(Pearl Millet/Cumbu),2005
Gujarat,Castor Seed,5175
Gujarat,Wheat,2020
Gujarat,Bajra(Pearl Millet/Cumbu),1850
Gujarat,Castor Seed,5390
Gujarat,Wheat,1945
Gujarat,Bajra(Pearl Millet/Cumbu),1950
Gujarat,Castor Seed,5375
Gujarat,Cummin Seed(Jeera),15000
Gujarat,Groundnut,5000
Gujarat,Guar Seed(Cluster Beans Seed),3920
Gujarat,Mustard,3400
Gujarat,Wheat,1870
Gujarat,Onion,1250
Gujarat,Potato,900
Gujarat,Bajra(Pearl Millet/Cumbu),2050
Gujarat,Castor Seed,5312
Gujarat,Cummin Seed(Jeera),14980
Gujarat,Guar Seed(Cluster Beans Seed),3865
Gujarat,Isabgul (Psyllium),7750
Gujarat,Mustard,3392
Gujarat,Bajra(Pearl Millet/Cumbu),1875
Gujarat,Castor Seed,5375
Gujarat,Guar Seed(Cluster Beans Seed),3875
Gujarat,Mustard,3520
Gujarat,Bajra(Pearl Millet/Cumbu),1927
Gujarat,Castor Seed,5375
Gujarat,Groundnut,5242
Gujarat,Jowar(Sorghum),5405
Gujarat,Maize,2055
Gujarat,Mustard,3567
Gujarat,Rajgir,6147
Gujarat,Wheat,2062
Gujarat,Bajra(Pearl Millet/Cumbu),1945
Gujarat,Castor Seed,5410
Gujarat,Cummin Seed(Jeera),15012
Gujarat,Guar Seed(Cluster Beans Seed),3862
Gujarat,Jowar(Sorghum),3000
Gujarat,Mustard,3422
Gujarat,Suva (Dill Seed),5675
Gujarat,Wheat,2022
Gujarat,Bajra(Pearl Millet/Cumbu),1935
Gujarat,Castor Seed,5397
Gujarat,Jowar(Sorghum),2925
Gujarat,Mustard,3417
Gujarat,Wheat,1927
Gujarat,Bajra(Pearl Millet/Cumbu),1945
Gujarat,Castor Seed,5375
Gujarat,Cummin Seed(Jeera),14765
Gujarat,Mustard,3610
Gujarat,Bajra(Pearl Millet/Cumbu),2045
Gujarat,Castor Seed,5425
Gujarat,Mustard,3610
Gujarat,Bajra(Pearl Millet/Cumbu),1922.5
Gujarat,Castor Seed,5357.5
Gujarat,Groundnut,5370
Gujarat,Wheat,2167.5
Gujarat,Bhindi(Ladies Finger),925
Gujarat,Bitter gourd,2900
Gujarat,Bottle gourd,1450
Gujarat,Brinjal,1725
Gujarat,Cabbage,2900
Gujarat,Capsicum,2900
Gujarat,Carrot,2900
Gujarat,Cauliflower,4750
Gujarat,Coriander(Leaves),10000
Gujarat,Cowpea(Veg),3000
Gujarat,Cucumbar(Kheera),1325
Gujarat,Drumstick,5150
Gujarat,Ginger(Green),8150
Gujarat,Green Chilli,3125
Gujarat,Guar,3150
Gujarat,Indian Beans (Seam),2900
Gujarat,Kartali (Kantola),10250
Gujarat,Lemon,2375
Gujarat,Methi(Leaves),5000
Gujarat,Onion Green,5150
Gujarat,Pointed gourd (Parval),2000
Gujarat,Ridgeguard(Tori),4200
Gujarat,Sponge gourd,1500
Gujarat,Surat Beans (Papadi),2675
Gujarat,Tomato,3300
Gujarat,Arhar (Tur/Red Gram)(Whole),4700
Gujarat,Bajra(Pearl Millet/Cumbu),1800
Gujarat,Castor Seed,4300
Gujarat,Cotton,4600
Gujarat,Jowar(Sorghum),1800
Gujarat,Maize,1600
Gujarat,Rice,3000
Gujarat,Wheat,1900
Gujarat,Arhar (Tur/Red Gram)(Whole),4500
Gujarat,Bajra(Pearl Millet/Cumbu),1800
Gujarat,Castor Seed,4200
Gujarat,Cotton,4800
Gujarat,Jowar(Sorghum),1900
Gujarat,Maize,1550
Gujarat,Rice,2900
Gujarat,Bajra(Pearl Millet/Cumbu),2000
Gujarat,Groundnut,5000
Gujarat,Groundnut,5000
Gujarat,Jowar(Sorghum),3250
Gujarat,Onion,1000
Gujarat,Arhar (Tur/Red Gram)(Whole),4395
Gujarat,Bajra(Pearl Millet/Cumbu),1930
Gujarat,Bengal Gram(Gram)(Whole),3995
Gujarat,Castor Seed,4655
Gujarat,Cummin Seed(Jeera),15505
Gujarat,Jowar(Sorghum),2925
Gujarat,"Sesamum(Sesame,Gingelly,Til)",17030
Gujarat,"Sesamum(Sesame,Gingelly,Til)",10445
Gujarat,Soanf,4680
Gujarat,Wheat,2075
Gujarat,Cotton,6390
Gujarat,Arhar (Tur/Red Gram)(Whole),5000
Gujarat,Arhar (Tur/Red Gram)(Whole),5300
Gujarat,Bajra(Pearl Millet/Cumbu),1900
Gujarat,Bengal Gram(Gram)(Whole),4165
Gujarat,Bengal Gram(Gram)(Whole),4115
Gujarat,Black Gram (Urd Beans)(Whole),4500
Gujarat,Castor Seed,5200
Gujarat,Castor Seed,5100
Gujarat,Green Gram (Moong)(Whole),5800
Gujarat,Jowar(Sorghum),2100
Gujarat,Maize,2100
Gujarat,Maize,2175
Gujarat,Paddy(Dhan)(Common),1540
Gujarat,Paddy(Dhan)(Common),1775
Gujarat,Rice,4000
Gujarat,"Sesamum(Sesame,Gingelly,Til)",9800
Gujarat,Soyabean,3525
Gujarat,Wheat,2200
Gujarat,Wheat,2200
Gujarat,Bhindi(Ladies Finger),1000
Gujarat,Bitter gourd,2000
Gujarat,Bottle gourd,1200
Gujarat,Brinjal,1500
Gujarat,Cabbage,2800
Gujarat,Carrot,3000
Gujarat,Cauliflower,5000
Gujarat,Coriander(Leaves),8000
Gujarat,Cucumbar(Kheera),1500
Gujarat,Drumstick,5500
Gujarat,Ginger(Green),9800
Gujarat,Green Chilli,3200
Gujarat,Lemon,3500
Gujarat,Little gourd (Kundru),1500
Gujarat,Mint(Pudina),6000
Gujarat,Onion,1500
Gujarat,Pointed gourd (Parval),3500
Gujarat,Potato,900
Gujarat,Pumpkin,1200
Gujarat,Tomato,4500
Gujarat,Paddy(Dhan)(Common),1390
Gujarat,Paddy(Dhan)(Common),1390
Gujarat,Bajra(Pearl Millet/Cumbu),2045
Gujarat,Castor Seed,5340
Gujarat,Guar,3605
Gujarat,Paddy(Dhan)(Common),1675
Gujarat,Wheat,2052
Gujarat,Bajra(Pearl Millet/Cumbu),2000
Gujarat,Castor Seed,5325
Gujarat,Guar,3900
Gujarat,Paddy(Dhan)(Common),1662
Gujarat,Wheat,2037
Gujarat,Bajra(Pearl Millet/Cumbu),1985
Gujarat,Barley (Jau),1925
Gujarat,Castor Seed,5360
Gujarat,Guar Seed(Cluster Beans Seed),3945
Gujarat,Paddy(Dhan)(Common),1840
Gujarat,Wheat,2075
Gujarat,Bajra(Pearl Millet/Cumbu),1790
Gujarat,Castor Seed,5415
Gujarat,Guar Seed(Cluster Beans Seed),4020
Gujarat,Jowar(Sorghum),3155
Gujarat,Wheat,2040
Gujarat,Bhindi(Ladies Finger),1625
Gujarat,Bitter gourd,2000
Gujarat,Bottle gourd,600
Gujarat,Brinjal,600
Gujarat,Brinjal,550
Gujarat,Brinjal,1250
Gujarat,Cucumbar(Kheera),1750
Gujarat,Green Chilli,3200
Gujarat,Guar,3000
Gujarat,Lemon,3000
Gujarat,Corriander seed,4350
Gujarat,Cummin Seed(Jeera),12500
Gujarat,Groundnut,3750
Gujarat,Cummin Seed(Jeera),14565
Gujarat,Groundnut,4090
Gujarat,Wheat,1750
Gujarat,Bajra(Pearl Millet/Cumbu),1950
Gujarat,Bengal Gram(Gram)(Whole),4200
Gujarat,Corriander seed,5500
Gujarat,Groundnut,5480
Gujarat,Groundnut,4825
Gujarat,Jowar(Sorghum),3100
Gujarat,Wheat,2050
Gujarat,Wheat,1980
Gujarat,Wheat,2100
Gujarat,Bhindi(Ladies Finger),1400
Gujarat,Bitter gourd,2400
Gujarat,Bottle gourd,700
Gujarat,Brinjal,900
Gujarat,Cabbage,1150
Gujarat,Coriander(Leaves),8000
Gujarat,Arhar (Tur/Red Gram)(Whole),4855
Gujarat,Beans,4125
Gujarat,Black Gram (Urd Beans)(Whole),4495
Gujarat,Corriander seed,5195
Gujarat,Cummin Seed(Jeera),14100
Gujarat,Garlic,3380
Gujarat,Green Gram (Moong)(Whole),5425
Gujarat,Ground Nut Seed,5890
Gujarat,Groundnut,4185
Gujarat,Groundnut (Split),5075
Gujarat,Isabgul (Psyllium),5625
Gujarat,Jowar(Sorghum),2020
Gujarat,Kulthi(Horse Gram),3950
Gujarat,Maize,1930
Gujarat,Methi Seeds,2420
Gujarat,Onion,560
Gujarat,"Sesamum(Sesame,Gingelly,Til)",15650
Gujarat,"Sesamum(Sesame,Gingelly,Til)",9940
Gujarat,Wheat,2020
Gujarat,Castor Seed,5490
Gujarat,Cummin Seed(Jeera),15400
Gujarat,Guar Seed(Cluster Beans Seed),4000
Gujarat,Castor Seed,5387
Gujarat,Green Gram (Moong)(Whole),5350
Gujarat,Guar Seed(Cluster Beans Seed),3915
Gujarat,Isabgul (Psyllium),7687
Gujarat,"Sesamum(Sesame,Gingelly,Til)",10125
Gujarat,Cummin Seed(Jeera),15400
Gujarat,Bajra(Pearl Millet/Cumbu),1950
Gujarat,Paddy(Dhan)(Common),1780
Gujarat,Wheat,1850
Gujarat,Bajra(Pearl Millet/Cumbu),1850
Gujarat,Paddy(Dhan)(Common),1600
Gujarat,Bajra(Pearl Millet/Cumbu),1850
Gujarat,Bajra(Pearl Millet/Cumbu),1825
Gujarat,Castor Seed,5370
Gujarat,Cummin Seed(Jeera),13665
Gujarat,Guar Seed(Cluster Beans Seed),3860
Gujarat,Mustard,3440
Gujarat,Wheat,2005
Gujarat,Bajra(Pearl Millet/Cumbu),2000
Gujarat,Castor Seed,5410
Gujarat,Cummin Seed(Jeera),15000
Gujarat,Guar Seed(Cluster Beans Seed),3900
Gujarat,Soanf,5500
Gujarat,Wheat,2025
Gujarat,Bajra(Pearl Millet/Cumbu),1900
Gujarat,Castor Seed,5380
Gujarat,Mustard,3540
Gujarat,Wheat,1950
Gujarat,Bajra(Pearl Millet/Cumbu),1950
Gujarat,Castor Seed,5350
Gujarat,Mustard,3460
Gujarat,Wheat,2000
Gujarat,Banana,1200
Gujarat,Bhindi(Ladies Finger),1750
Gujarat,Cabbage,2600
Gujarat,Cauliflower,2500
Gujarat,Green Chilli,2250
Gujarat,Lemon,2750
Gujarat,Onion,1150
Gujarat,Potato,625
Gujarat,Tomato,3250
Gujarat,Castor Seed,5415
Gujarat,Ajwan,10025
Gujarat,Castor Seed,5455
Gujarat,Corriander seed,5875
Gujarat,Cummin Seed(Jeera),15500
Gujarat,Isabgul (Psyllium),8925
Gujarat,Methi Seeds,3975
Gujarat,Mustard,3575
Gujarat,"Sesamum(Sesame,Gingelly,Til)",9900
Gujarat,Soanf,7050
Gujarat,Suva (Dill Seed),6100
Gujarat,Castor Seed,5400
Gujarat,Wheat,2000
Gujarat,Castor Seed,5380
Gujarat,Wheat,2025
Gujarat,Castor Seed,5390
Gujarat,Wheat,1975
Gujarat,Bitter gourd,1300
Gujarat,Bottle gourd,400
Gujarat,Green Chilli,2000
Gujarat,Guar,1500
Gujarat,Bajra(Pearl Millet/Cumbu),1932
Gujarat,Guar Seed(Cluster Beans Seed),3725
Gujarat,Jowar(Sorghum),3607
Gujarat,Methi Seeds,3887
Gujarat,Mustard,3345
Gujarat,Wheat,2035
Gujarat,Bajra(Pearl Millet/Cumbu),1750
Gujarat,Cummin Seed(Jeera),15500
Gujarat,Jowar(Sorghum),3200
Gujarat,"Sesamum(Sesame,Gingelly,Til)",10170
Gujarat,Wheat,2050
Gujarat,Banana,220
Gujarat,Bhindi(Ladies Finger),1000
Gujarat,Bottle gourd,750
Gujarat,Brinjal,1050
Gujarat,Cabbage,2250
Gujarat,Cauliflower,2875
Gujarat,Green Chilli,3500
Gujarat,Potato,950
Gujarat,Tomato,3500
Gujarat,Arhar (Tur/Red Gram)(Whole),5000
Gujarat,Groundnut,4950
Gujarat,Maize,2050
Gujarat,Maize,2000
Gujarat,Wheat,1850
Gujarat,Arhar (Tur/Red Gram)(Whole),4900
Gujarat,Bajra(Pearl Millet/Cumbu),1825
Gujarat,Maize,1950
Gujarat,Castor Seed,5335
Gujarat,Cummin Seed(Jeera),15000
Gujarat,Guar Seed(Cluster Beans Seed),3800
Gujarat,Wheat,1950
Gujarat,Castor Seed,5380
Gujarat,Cummin Seed(Jeera),15375
Gujarat,Wheat,1875
Gujarat,Bajra(Pearl Millet/Cumbu),1860
Gujarat,Barley (Jau),2015
Gujarat,Castor Seed,5372
Gujarat,Cummin Seed(Jeera),14812
Gujarat,Guar Seed(Cluster Beans Seed),3965
Gujarat,Jowar(Sorghum),3905
Gujarat,Mustard,3427
Gujarat,Wheat,2062
Gujarat,Brinjal,900
Gujarat,Cabbage,2900
Gujarat,Castor Seed,5180
Gujarat,Corriander seed,5855
Gujarat,Green Chilli,2200
Gujarat,Ground Nut Seed,6405
Gujarat,"Sesamum(Sesame,Gingelly,Til)",10105
Gujarat,Soyabean,3280
Gujarat,Tomato,2900
Gujarat,Wheat,2105
Gujarat,Arhar (Tur/Red Gram)(Whole),5130
Gujarat,Bajra(Pearl Millet/Cumbu),1755
Gujarat,Black Gram (Urd Beans)(Whole),4630
Gujarat,Castor Seed,5280
Gujarat,Corriander seed,6355
Gujarat,Cotton,6105
Gujarat,Cummin Seed(Jeera),15705
Gujarat,Green Gram (Moong)(Whole),5380
Gujarat,Groundnut,5250
Gujarat,Maize,2705
Gujarat,Onion,830
Gujarat,"Sesamum(Sesame,Gingelly,Til)",15880
Gujarat,Soyabean,2120
Gujarat,Wheat,2120
Gujarat,Apple,13000
Gujarat,Banana,1750
Gujarat,Bhindi(Ladies Finger),1000
Gujarat,Brinjal,550
Gujarat,Cabbage,3000
Gujarat,Carrot,2250
Gujarat,Cauliflower,3250
Gujarat,Cucumbar(Kheera),2000
Gujarat,Green Chilli,1500
Gujarat,Guar,5000
Gujarat,Lemon,2500
Gujarat,Mango,3500
Gujarat,Mousambi(Sweet Lime),7500
Gujarat,Pomegranate,2000
Gujarat,Arhar (Tur/Red Gram)(Whole),4250
Gujarat,Beans,4625
Gujarat,Black Gram (Urd Beans)(Whole),4000
Gujarat,Cotton,1201
Gujarat,Cummin Seed(Jeera),14400
Gujarat,Green Gram (Moong)(Whole),4750
Gujarat,Groundnut,4250
Gujarat,Kulthi(Horse Gram),6500
Gujarat,Maize,2055
Gujarat,Methi Seeds,4400
Gujarat,"Sesamum(Sesame,Gingelly,Til)",15750
Gujarat,"Sesamum(Sesame,Gingelly,Til)",9750
Gujarat,Wheat,2025
Gujarat,Bhindi(Ladies Finger),750
Gujarat,Bitter gourd,3000
Gujarat,Black Gram (Urd Beans)(Whole),5170
Gujarat,Bottle gourd,850
Gujarat,Brinjal,750
Gujarat,Cabbage,2750
Gujarat,Cucumbar(Kheera),1250
Gujarat,Cummin Seed(Jeera),13395
Gujarat,Green Chilli,1250
Gujarat,Groundnut,4500
Gujarat,Guar,3750
Gujarat,Lemon,2500
Gujarat,Onion,1200
Gujarat,"Sesamum(Sesame,Gingelly,Til)",9925
Gujarat,Tomato,3750
Gujarat,Wheat,2020
Gujarat,Arhar (Tur/Red Gram)(Whole),5405
Gujarat,Bajra(Pearl Millet/Cumbu),1975
Gujarat,Bengal Gram(Gram)(Whole),4350
Gujarat,Black Gram (Urd Beans)(Whole),5205
Gujarat,Castor Seed,5165
Gujarat,Corriander seed,5550
Gujarat,Cotton,6075
Gujarat,Cummin Seed(Jeera),15700
Gujarat,Green Gram (Moong)(Whole),5685
Gujarat,Ground Nut Seed,6875
Gujarat,Groundnut,5100
Gujarat,Groundnut,5220
Gujarat,Jowar(Sorghum),3000
Gujarat,Jowar(Sorghum),2050
Gujarat,Maize,2050
Gujarat,Methi Seeds,4000
Gujarat,Mustard,3050
Gujarat,"Sesamum(Sesame,Gingelly,Til)",16575
Gujarat,"Sesamum(Sesame,Gingelly,Til)",10150
Gujarat,Wheat,2075
Gujarat,Wheat,2135
Gujarat,Bhindi(Ladies Finger),1375
Gujarat,Bottle gourd,925
Gujarat,Brinjal,600
Gujarat,Cluster beans,3125
Gujarat,Coriander(Leaves),6000
Gujarat,Ginger(Green),8625
Gujarat,Green Chilli,1425
Gujarat,Lemon,2625
Gujarat,Onion,1050
Gujarat,Potato,600
Gujarat,Tomato,3625
